Method;Iteration;Convergence
Newton;1,5000000000000000;
Newton;0,7844723977194106;1,6496770223293806
Newton;0,7395187098320523;1,9886824347132985
Newton;0,7390851747051963;0,5694541413009433
Newton;0,7390851332151610;0,0000003918720206
Newton;0,7390851332151606;-0,2500001935382120
Newton;0,7390851332151607;0,0000000000000000
Newton;0,7390851332151607;
Halley;1,5000000000000000;
Halley;0,7752907124784240;2,8939899801005775
Halley;0,7390905193984278;1,1491997366137674
Halley;0,7390851332151607;-0,0000000000000000
Halley;0,7390851332151607;
Bisection;0,7500000000000000;
Bisection;0,3750000000000000;-0,2063104037260338
Bisection;0,5625000000000000;1,0461123604432392
Bisection;0,6562500000000000;1,1023719851522098
Bisection;0,7031250000000000;1,2641670138623249
Bisection;0,7265625000000000;2,6030038784548908
Bisection;0,7382812500000000;-0,6696592891115264
Bisection;0,7441406250000000;-0,4711419547436591
Bisection;0,7412109375000000;1,3484677584849227
Bisection;0,7397460937500000;1,9042284287787545
Bisection;0,7390136718750000;-0,6369733779340226
Bisection;0,7393798828125000;-0,6851283517658667
Bisection;0,7391967773437500;1,7665851495796565
Bisection;0,7391052246093750;-0,1432030057956504
Bisection;0,7390594482421875;-9,0290864600105980
Bisection;0,7390823364257812;-0,5090759037504052
Bisection;0,7390937805175781;-0,9600837415297961
Bisection;0,7390880584716797;3,5202829363075323
Bisection;0,7390851974487305;-0,8004049865700976
Bisection;0,7390837669372559;-0,2428025653304068
Bisection;0,7390844821929932;1,0754637840084225
Bisection;0,7390848398208618;1,1805271181390014
Bisection;0,7390850186347961;1,6169684349996039
Bisection;0,7390851080417633;0,1539168171671255
Bisection;0,7390851527452469;8,6426946880889783
Bisection;0,7390851303935051;-0,5877745899221533
Bisection;0,7390851415693760;-0,8870765352926878
Bisection;0,7390851359814405;2,6203434318287391
Bisection;0,7390851331874728;-0,7714951649697094
Bisection;0,7390851345844567;-0,2723621428815426
Bisection;0,7390851338859648;0,8621811856934261
Bisection;0,7390851335367188;0,7852418023584303
Bisection;0,7390851333620958;0,7010837848196598
Bisection;0,7390851332747843;0,6270327373693068
Bisection;0,7390851332311286;0,5733820583033775
Bisection;0,7390851332093007;-0,5123951911187249
Bisection;0,7390851332202146;-0,4936468439434619
Bisection;0,7390851332147577;-0,5031364707666781
Bisection;0,7390851332174861;-0,4984218962488141
Bisection;0,7390851332161219;0,5023696420790623
Bisection;0,7390851332154398;0,5011879453795819
Bisection;0,7390851332150987;-0,5001980430052776
Bisection;0,7390851332152693;-0,4999009392685310
Bisection;0,7390851332151840;0,5001486009093715
Bisection;0,7390851332151414;-0,5000247676359972
Bisection;0,7390851332151627;-0,4999876155686190
Bisection;0,7390851332151520;-0,5000061920633933
Bisection;0,7390851332151573;0,4999907119423573
Bisection;0,7390851332151600;0,4999953560198981
Bisection;0,7390851332151613;-0,4999992260047164
Bisection;0,7390851332151607;
Secant;0,6174712760718021;
Secant;0,7247943825367412;1,6563785471755885
Secant;0,7394969859705960;1,6216497943237627
Secant;0,7390838241369310;1,6550215180033296
Secant;0,7390851330961395;-0,0846302615749303
Secant;0,7390851332151607;0,0000000000000000
Secant;0,7390851332151607;
